Activation,Hidden Layers,Neurons,L2_norm
Sigmoid(),4,8,1.1825853016190708
Sigmoid(),4,16,2.1323435553601433
Sigmoid(),4,32,1.9965135321804577
Sigmoid(),4,64,2.001134016880335
Sigmoid(),6,1,1.9920244265364742
Sigmoid(),6,2,2.0621444118187533
Sigmoid(),6,4,1.9997098330767658
Sigmoid(),6,8,1.2821268793363614
Sigmoid(),6,16,2.1262278880068997
Sigmoid(),6,32,2.1202301706565967
Sigmoid(),6,64,2.2200738788030794
Sigmoid(),8,1,1.9968430589679393
Sigmoid(),8,2,1.9920252691297775
Sigmoid(),8,4,2.0485703111741658
Sigmoid(),8,8,2.0370067912209984
Sigmoid(),8,16,1.2960716756144617
Sigmoid(),8,32,2.1277800203360795
Sigmoid(),8,64,1.2053757103191285
Sigmoid(),10,1,1.9920241967382386
Sigmoid(),10,2,1.9920258053253304
Sigmoid(),10,4,1.9920240435394003
Sigmoid(),10,8,2.0331147540233294
Sigmoid(),10,16,2.0637442240180754
Sigmoid(),10,32,1.4339156335675587
Sigmoid(),10,64,1.8698241549957229
Sigmoid(),12,1,1.99202389034055
Sigmoid(),12,2,1.99202389034055
Sigmoid(),12,4,1.99202389034055
Sigmoid(),12,8,1.99202389034055
Sigmoid(),12,16,1.988036806560251
Sigmoid(),12,32,2.0527790120622535
Sigmoid(),12,64,2.0557745757853203
Sigmoid(),15,1,1.9821108515253063
Sigmoid(),15,2,1.99202389034055
Sigmoid(),15,4,1.99202389034055
Sigmoid(),15,8,1.9921089138911776
Sigmoid(),15,16,1.9920006039783222
Sigmoid(),15,32,1.9924227802241798
Sigmoid(),15,64,1.99202389034055
sin,1,1,1.9864686605274728
sin,1,2,1.4056120514771537
sin,1,4,1.4132958254845414
sin,1,8,1.177052624507237
sin,1,16,1.2009543121058457
sin,1,32,1.148152600716146
sin,1,64,1.1843384105495882
sin,2,1,1.980295773387818
sin,2,2,1.1144406996875684
sin,2,4,1.2079038360921344
sin,2,8,1.1556663566026326
sin,2,16,1.134390603370649
sin,2,32,1.1514975706763073
sin,2,64,1.25263832896935
sin,4,1,1.4623928454668589
sin,4,2,1.9826516569416417
sin,4,4,1.3091821205267933
sin,4,8,1.4084818443831753
sin,4,16,1.979463425188795
sin,4,32,1.9920218987544258
sin,4,64,1.99202389034055
sin,6,1,1.712460705382891
sin,6,2,1.921205739669915
sin,6,4,1.9262410708646873
sin,6,8,1.9895704317589984
sin,6,16,1.9914897675209444
sin,6,32,1.9913156027083814
sin,6,64,2.0092209918624246
sin,8,1,1.4467978009912528
sin,8,2,2.0077503334247484
sin,8,4,2.0279425446386465
sin,8,8,1.6820703483321622
sin,8,16,1.992031397070353
sin,8,32,1.997335260924227
sin,8,64,1.9918135372047725
sin,10,1,1.992022588149848
sin,10,2,1.99402266883017
sin,10,4,1.9901322118651126
sin,10,8,1.9920387505741606
sin,10,16,1.9915925122532674
sin,10,32,1.9892450696848856
sin,10,64,1.9896309423159597
sin,12,1,1.9916321223414197
sin,12,2,1.9804804610107398
sin,12,4,1.9919914119182969
sin,12,8,1.9920526915172825
sin,12,16,1.992493006599435
sin,12,32,1.9927044366086224
sin,12,64,1.9986342535327797
sin,15,1,1.99202389034055
sin,15,2,1.9920171495794783
sin,15,4,1.9882052723695622
sin,15,8,1.9918116986235013
sin,15,16,1.9804427852094797
sin,15,32,1.990258717037106
sin,15,64,2.000212543637941
